#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0   1.70898e+07       195768
       0.004   1.68376e+07       192697
       0.008   1.61037e+07       184076
       0.012   1.49555e+07       171397
       0.016   1.34942e+07       157079
        0.02   1.18404e+07       146024
       0.024   1.01186e+07       146730
       0.028   8.44148e+06       165964
       0.032   6.89921e+06       201368
       0.036   5.55251e+06       245624
        0.04   4.43205e+06       290131
       0.044    3.5413e+06       326497
       0.048   2.86299e+06       345182
       0.052   2.36654e+06       339156
       0.056   2.01542e+06       307418
        0.06   1.77296e+06       264876
       0.064   1.60631e+06       234497
       0.068   1.48839e+06       217059
       0.072   1.39849e+06       207735
       0.076   1.32171e+06       200673
        0.08   1.24821e+06       192315
       0.084    1.1722e+06       181127
       0.088    1.0911e+06       166691
       0.092   1.00486e+06       149127
       0.096        915252       130324
         0.1        825220       112217
       0.104        738196      95390.3
       0.108        657470        80682
       0.112        585677      68518.9
       0.116        524472      58920.4
        0.12        474433      51603.8
       0.124        435161      46124.1
       0.128        405543      42003.5
       0.132        384082      38828.4
       0.136        369206      36294.3
        0.14        359491      34195.5
       0.144        353782      32393.4
       0.148        351183      30798.8
       0.152        350970      29371.1
       0.156        352456      28121.1
        0.16        354880      27091.6
       0.164        357336      26315.9
       0.168        358804      25767.6
       0.172        358260      25336.7
       0.176        354839      24853.8
        0.18        348026      24154.7
       0.184        337797      23140.3
       0.188        324665      21794.8
       0.192        309612      20152.5
       0.196        293910      18235.9
         0.2        278864      16004.2
       0.204        265545      13943.2
       0.208        254588      12464.5
       0.212        246091      11240.8
       0.216        239656      10363.2
        0.22        234529      9811.62
       0.224        229822      9466.53
       0.228        224727      9186.94
       0.232        218694      8875.83
       0.236        211506      8500.68
        0.24        203283      8080.23
       0.244        194397      7656.69
       0.248        185805      7100.67
       0.252        177671      6652.86
       0.256        169200      6534.84
        0.26        162098      6165.97
       0.264        158438      5672.83
       0.268        155441      5510.31
       0.272        152511      5225.93
       0.276        151057      4837.25
        0.28        150886      4438.31
       0.284        152151      4271.96
       0.288        152690      3923.32
       0.292        153848      3744.01
       0.296        153322      3625.99
         0.3        153520      3349.88
       0.304        152082      3226.74
       0.308        150254         3115
       0.312        148985       3086.3
       0.316        145751      3012.63
        0.32        144557      2884.86
       0.324        140455      2913.47
       0.328        139630      2717.59
       0.332        137794      2614.91
       0.336        136062      2450.85
        0.34        135905      2298.47
       0.344        135777      2253.94
       0.348        134946      2188.75
       0.352        133289      2084.12
       0.356        132793      2085.96
        0.36        130726      1989.45
       0.364        128621      1930.56
       0.368        125898      1901.86
       0.372        122284      1851.74
       0.376        118834      1777.42
        0.38        116221      1755.18
       0.384        112821      1742.71
       0.388        110025      1611.03
       0.392        107730      1617.57
       0.396        105699      1599.65
         0.4        103083      1526.39
