# SAXS profile: number of points = 82, q_min = 0, q_max = 0.4, delta_q = 0.005
#    q    intensity    error
0.00000    16562364.16145827 2484.35462422
0.00500    16182419.29005464 26215.51876159
0.01000    15097050.47099947 42347.22571067
0.01500    13457308.69298200 48446.31027955
0.02000    11477438.30160362 43384.71585652
0.02500    9390324.32392812 47608.94329910
0.03000    7403992.53063720 34428.56452275
0.03500    5670114.14998031 42866.06204233
0.04000    4270204.47190028 36766.45970131
0.04500    3219566.04062790 31101.00727242
0.05000    2483695.98021368 24700.35598195
0.05500    1999999.15417536 18479.99177890
0.06000    1697773.82289059 20195.01917929
0.06500    1512420.23252809 20962.14396140
0.07000    1392668.55212964 20764.68765466
0.07500    1302233.30220208 14845.45931765
0.08000    1218220.29300772 17761.65147995
0.08500    1128405.48358139 16012.07345828
0.09000    1028593.14376866 21060.44415310
0.09500    920355.34937573 15903.74008544
0.10000    808984.87807179 15932.95682102
0.10500    701434.36887759 12268.08684004
0.11000    604385.48868472 12075.62179644
0.11500    522727.11436666 10914.54190612
0.12000    458698.70093073 8325.38123734
0.12500    411915.88744339 11677.81515007
0.13000    380048.08821147 7467.94476771
0.13500    359834.99752497 8074.69716530
0.14000    348044.18411691 8833.36119685
0.14500    342050.49078854 8239.99614018
0.15000    339954.35792431 10009.95584682
0.15500    340331.38162282 9556.50498373
0.16000    341832.87193239 10731.84277593
0.16500    342909.94077250 9392.30306909
0.17000    341803.18178104 10520.70170144
0.17500    336867.45475323 14229.28097253
0.18000    327064.55509774 8879.80247352
0.18500    312407.62071240 10459.40690892
0.19000    294091.08806882 10110.85138299
0.19500    274235.92257547 10481.29672775
0.20000    255245.74738859 9234.79093513
0.20500    239085.47883435 7387.74113165
0.21000    226703.97647768 8610.21683508
0.21500    217859.01740024 8470.35840807
0.22000    211369.41633353 8408.27519466
0.22500    205673.98003079 6972.34776789
0.23000    199412.95512328 7600.62461537
0.23500    191843.89532478 8149.52849201
0.24000    182943.90497765 8597.44862305
0.24500    173247.05906191 8310.66123820
0.25000    163544.80419295 7388.95408894
0.25500    154615.44672599 9499.57283534
0.26000    147045.60193863 6908.20222526
0.26500    141172.27626581 6759.32843709
0.27000    137084.85707085 6686.99917900
0.27500    134641.49781259 6131.57367383
0.28000    133492.34805843 7877.38328348
0.28500    133124.25080554 7424.33930206
0.29000    132946.30802851 5803.10621618
0.29500    132427.73512521 6467.77043944
0.30000    131224.05334512 7109.71905185
0.30500    129263.80612903 7119.85028297
0.31000    126726.52929974 7685.33019815
0.31500    123948.69833951 6462.68498743
0.32000    121284.55159929 7007.82123526
0.32500    118989.39720323 8727.87209037
0.33000    117163.16996291 6398.86638493
0.33500    115761.47517122 5834.37821861
0.34000    114642.39385806 7623.14580970
0.34500    113620.95282408 8845.39098022
0.35000    112497.57367016 7107.59654607
0.35500    111081.35151531 8304.44165419
0.36000    109214.44073289 7096.75420064
0.36500    106800.02916501 6449.65361751
0.37000    103845.30045108 6934.78900954
0.37500    100473.58688378 5666.71017392
0.38000    96916.09259753  7200.38093901
0.38500    93449.94395658  6492.90196135
0.39000    90326.67703007  6357.19138765
0.39500    87697.40809550  5730.14851720
0.40000    85580.15827520  7206.70496767
0.40500    83876.44515187  6640.49801461
